122;COURROIE;R01-X42;650,00;
123;POMPE IMMERGEE;"96X/23 4"" SAER";4 833,33;
124;POMPE IMMERGEE;"96X/23 4"" SAER";4 833,33;
125;FLOTTEUR DE NIVEAU;3 MTS;;
126;VIS;TH 16X180;36,00;
127;VIS;BTR 16X60;18,00;
128;VIS;TH 20X90;12,00;
129;VIS;TH 16X90;9,00;
130;ECROU;TH 16;1,40;
131;RONDELLE;TH 16;0,70;
132;ECROU NYLSTOPE;20MM;2,50;
133;ECHANGE DE JOINT;MANETTE;100,00;
134;GASOIL;;11,91;
135;COUPELLE HYDRAULIQUE;12X20X6;30,00;
136;ARRET D'HUILE;85X115X13;40,00;
137;ARRET D'HUILE;95X120X12;40,00;
138;ELECTRODE;E 312-17 D 4MM CASTOLIN;330,00;
139;DISQUE A COUPER;230X3,20;18,00;
140;DISQUE A COUPER;230X6,50;24,00;
141;DEBIMETRE ELECTROMAGNETIQUE;24V INJECTIONS ET ESSAI D'EAU;29 000,00;
142;DEBIMETRE ELECTROMAGNETIQUE;24V INJECTIONS ET ESSAI D'EAU;29 000,00;
143;DEBIMETRE ELECTROMAGNETIQUE;24V INJECTIONS ET ESSAI D'EAU;29 000,00;
144;INTERCALAIR;12;20,83;
145;ENVELOPPE BLANC;115X230;0,42;
146;CLASSEUR A LEVIER;SICLA ROUGE;20,83;
147;SCOTCH;19X33;3,33;
148;FICHE PERSONNEL;;2,50;
149;PAPIER BLANC;A4 NAVIGATOR 80G;56,67;
150;CONTRÔLE REGLEMENTAIRE;MACHINE MAIT HR 180;2 500,00;
151;CONTRÔLE REGLEMENTAIRE;SANY SR 265;2 500,00;
152;FRAIS DE DEPLACEMENT;;1 000,00;
153;TUBE PEHD;40P10;9,80;
154;RACCORD PEHD;"40X1""1/4 MALE";25,00;
155;CORDE EN NYLON;D 12 MM;5,00;
156;CABLE ELECTRIQUE SOUPLE;3X2,5MM2;10,41;
157;CABLE ELECTRIQUE SOUPLE;3X1,5MM2;6,67;
158;ELECTRODE DE NIVEAU;;23,33;
159;RESIGNEUSE;;100,00;
160;REMISE EN ETAT ECHAPPEMENT;;2 700,00;
161;LOCATION CAMION PORTE CHARS;;9 300,00;
162;LOCATION CAMION PLATEAU;;2 500,00;
